X,Y,Label
8.06094229500246,7.503171477510524,1
4.730451800721253,5.227431982599948,1
8.398135180938885,5.871146963570643,1
0.7628742113347475,7.462327524342493,1
2.3296812031410385,1.881317133016597,1
6.8346454488048245,5.287499916906356,1
5.87138010325366,4.43288359587893,1
9.073644505329728,2.9448394352847655,1
7.233988958986562,2.220025445912606,0
5.486400319767135,7.76374776102741,1
6.853868331913939,1.72435103665316,1
2.7274379180330466,1.9416165812060466,1
6.971194956352043,7.31769326934059,1
8.651301336939959,3.1197039888442104,1
5.676471188027767,4.950374213719571,1
0.31639806793005487,7.07842704600513,1
6.7998342518961055,4.98624870016967,1
9.204354514285104,5.960778431812649,1
1.6072588215693584,3.1389678665728438,1
7.6674725645972845,5.984466816644625,1
7.237299435116089,4.402667494417062,1
6.25648094064907,3.1086742677994774,0
4.2102235595588695,5.376585137163016,1
1.7920617293072916,1.5819789373433277,1
9.16272713161133,0.2839725680020946,1
4.23781968508789,6.2987080631158285,1
7.409327717109186,6.924237342229794,1
3.4651646027006855,7.487416385903584,1
0.7623468483040019,3.965455006677428,1
4.1432813082333295,0.04154068432811808,1
3.06409142984734,6.749231674907018,1
6.992413074810714,0.7609982636216666,1
5.291100973544774,1.9443288609817113,1
2.256656056130164,6.914602304099573,1
4.60261045213784,4.4236881833200785,0
4.146022712042653,0.49490559572404,1
4.8322854170133756,3.898784456372386,0
8.5262996477982,0.9589118497560554,1
4.876485793834062,5.478645751853114,1
0.01482546421352704,6.035215027134655,1
7.739844096952819,1.1968444368556472,1
9.553050232508292,5.139061901171809,1
5.3937206545958,1.170855724424107,1
8.218316103740044,4.77955004937494,1
9.716227929289804,4.662704040418449,1
2.0189075661491773,4.780228121677161,1
6.643558970473942,0.966136652137231,1
2.3818185927440974,0.6236112577924722,1
0.7332022379390768,7.199490564067397,1
3.846359371647533,7.653231257353335,1
9.106603455583892,1.544487320783972,1
1.7451630738272839,0.8223413519449068,1
2.236757199522812,3.9338133374923014,1
8.79478543075245,0.07812358780575668,1
8.79906304613508,0.7923445151804476,1
4.004597016919998,4.647138946748858,1
4.545337285577736,6.779968778459389,1
7.696400664363764,6.581182411662512,1
4.49220058074813,7.436624789176379,1
4.5210728564707665,6.2032252596467,1
9.222217563255626,4.811286520815928,1
7.224311967708518,4.754915851409977,1
7.720166708137559,3.612244828319544,1
7.581941075589582,5.73265639313846,1
6.632126095613916,4.860627720225904,1
7.826550287991616,2.3144559521097827,1
6.290034216203297,4.453410814759987,1
6.60599712446344,1.7755895497246623,1
2.763303005692893,3.8856012174487127,1
9.568065587645897,4.211569496951984,1
7.51799088648254,6.714906090549207,1
5.145419820498431,4.2965148762242205,0
9.522753795171313,1.7707363046440543,1
8.454761591206433,4.942288018759231,1
8.581032597780178,7.936859130688207,1
7.295020081024508,7.563822882631457,1
3.6346228528847133,4.39475446766543,1
1.2012444421683899,5.71063628675378,1
0.8149439135167225,3.708183032895631,1
6.873572397028751,4.750503467303245,1
2.267880701765117,6.416636602281167,1
2.4083611388064163,4.013907534875138,1
4.660045080297394,0.38802833979906737,1
0.6015716974125118,6.701829211701529,1
1.7144539071670406,4.049935406008871,1
3.6433201706072262,6.381871401297083,1
5.525383212306028,0.22129979679011136,1
0.9494316515968837,0.3750979654525155,1
7.524748287290283,0.9512766224249125,1
5.402123749806856,6.099155692046183,1
6.365816230900563,5.088448482380716,1
8.7263634539678,1.5634577871556354,1
5.475512441302031,3.296866283972591,0
7.9574478178081565,3.8269202957929087,1
3.7381112327521016,5.729650873170707,1
7.623614612781292,3.0070664923422568,1
0.13275186400235284,5.993989830435442,1
6.853691406984535,3.030511285531463,0
9.919676892694373,4.447709084791844,1
1.3704677205382643,4.0483535422093775,1
0.7923249856269021,7.29906968979322,1
6.5267260179673405,3.7347690235199096,1
2.83644560687607,2.0388857962079125,0
6.768347940807727,1.9772570098018214,1
7.496665400714577,2.203185367217233,0
